2024-02-12 14:53:37.610 [dw-42 - POST /route] INFO  c.g.resources.RouteResource - 127.0.0.1 en_US insomnia/2023.1.0 2, took: 55.3 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 5, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 1934, debugInfo: idLookup:2.63302E-4s; ; ; ; ; 
2024-02-12 14:55:24.341 [dw-35 - POST /route] INFO  c.g.resources.RouteResource - 127.0.0.1 en_US insomnia/2023.1.0 2, took: 129.4 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 6, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 1934, debugInfo: idLookup:4.52501E-4s; ; ; ; ; ; 
2024-02-12 14:56:09.484 [dw-40 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 12.8 ms, algo: , profile: car, custom_model: null, alternatives: 1, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:0.001185346s; , algoInit:47 μs, dijkstrabi|ch-routing:2 ms, path extraction: 649 μs, visited nodes sum: 338
2024-02-12 14:56:09.562 [dw-38 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 90.9 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 3, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:0.001306032s; ; ; 
2024-02-12 14:56:10.305 [dw-35 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 8.3 ms, algo: , profile: car, custom_model: null, alternatives: 1, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:7.78102E-4s; , algoInit:49 μs, dijkstrabi|ch-routing:2 ms, path extraction: 533 μs, visited nodes sum: 338
2024-02-12 14:56:10.384 [dw-42 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 87.0 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 3, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:6.19422E-4s; ; ; 
2024-02-12 15:03:13.654 [dw-41 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 8.7 ms, algo: , profile: car, custom_model: null, alternatives: 1, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:4.50267E-4s; , algoInit:40 μs, dijkstrabi|ch-routing:1 ms, path extraction: 495 μs, visited nodes sum: 338
2024-02-12 15:03:13.721 [dw-52 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 74.0 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 3, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:4.39442E-4s; ; ; 
2024-02-12 15:03:29.228 [dw-38 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 14.6 ms, algo: , profile: car, custom_model: null, alternatives: 1, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:8.46057E-4s; , algoInit:52 μs, dijkstrabi|ch-routing:3 ms, path extraction: 876 μs, visited nodes sum: 338
2024-02-12 15:03:29.295 [dw-54 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 80.0 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 3, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:7.42692E-4s; ; ; 
